"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","% เปลี่ยน"
"Oct 18, 2022","24.218","24.218","24.218","24.218","1.02%"
"Oct 19, 2022","24.071","24.071","24.071","24.071","-0.61%"
"Oct 20, 2022","23.882","23.882","23.882","23.882","-0.78%"
"Oct 21, 2022","24.446","24.446","24.446","24.446","2.36%"
"Oct 25, 2022","25.096","25.096","25.096","25.096","2.66%"
"Oct 26, 2022","24.842","24.842","24.842","24.842","-1.01%"
"Oct 27, 2022","24.726","24.726","24.726","24.726","-0.47%"
"Oct 28, 2022","25.275","25.275","25.275","25.275","2.22%"
"Oct 31, 2022","25.120","25.120","25.120","25.120","-0.61%"
"Nov 01, 2022","25.000","25.000","25.000","25.000","-0.48%"
"Nov 02, 2022","24.387","24.387","24.387","24.387","-2.45%"
"Nov 03, 2022","24.188","24.188","24.188","24.188","-0.82%"
"Nov 04, 2022","24.465","24.465","24.465","24.465","1.15%"
"Nov 07, 2022","24.647","24.647","24.647","24.647","0.75%"
"Nov 08, 2022","24.767","24.767","24.767","24.767","0.49%"
"Nov 09, 2022","24.246","24.246","24.246","24.246","-2.10%"
"Nov 10, 2022","25.444","25.444","25.444","25.444","4.94%"
"Nov 14, 2022","25.346","25.346","25.346","25.346","-0.39%"
"Nov 15, 2022","25.517","25.517","25.517","25.517","0.67%"
"Nov 16, 2022","25.356","25.356","25.356","25.356","-0.63%"
"Nov 17, 2022","25.282","25.282","25.282","25.282","-0.29%"
"Nov 18, 2022","25.397","25.397","25.397","25.397","0.45%"
"Nov 21, 2022","25.321","25.321","25.321","25.321","-0.30%"
"Nov 22, 2022","25.634","25.634","25.634","25.634","1.24%"
"Nov 23, 2022","25.785","25.785","25.785","25.785","0.59%"
"Nov 25, 2022","25.736","25.736","25.736","25.736","-0.19%"
"Nov 28, 2022","25.342","25.342","25.342","25.342","-1.53%"
"Nov 29, 2022","25.298","25.298","25.298","25.298","-0.17%"
"Nov 30, 2022","25.989","25.989","25.989","25.989","2.73%"
"Dec 01, 2022","25.950","25.950","25.950","25.950","-0.15%"
"Dec 02, 2022","25.903","25.903","25.903","25.903","-0.18%"
"Dec 06, 2022","25.154","25.154","25.154","25.154","-2.89%"
"Dec 07, 2022","25.110","25.110","25.110","25.110","-0.18%"
"Dec 08, 2022","25.272","25.272","25.272","25.272","0.65%"
"Dec 09, 2022","25.106","25.106","25.106","25.106","-0.66%"
"Dec 13, 2022","25.590","25.590","25.590","25.590","1.93%"
"Dec 14, 2022","25.438","25.438","25.438","25.438","-0.59%"
"Dec 15, 2022","24.885","24.885","24.885","24.885","-2.17%"
"Dec 16, 2022","24.607","24.607","24.607","24.607","-1.12%"
"Dec 19, 2022","24.408","24.408","24.408","24.408","-0.81%"
"Dec 20, 2022","24.413","24.413","24.413","24.413","0.02%"
"Dec 21, 2022","24.729","24.729","24.729","24.729","1.29%"
"Dec 22, 2022","24.423","24.423","24.423","24.423","-1.24%"
"Dec 23, 2022","24.535","24.535","24.535","24.535","0.46%"
"Dec 27, 2022","24.428","24.428","24.428","24.428","-0.44%"
"Dec 28, 2022","24.171","24.171","24.171","24.171","-1.05%"
"Dec 29, 2022","24.527","24.527","24.527","24.527","1.47%"
"Dec 30, 2022","24.475","24.475","24.475","24.475","-0.21%"
"Jan 03, 2023","24.363","24.363","24.363","24.363","-0.46%"
"Jan 04, 2023","24.508","24.508","24.508","24.508","0.60%"
"Jan 05, 2023","24.257","24.257","24.257","24.257","-1.02%"
"Jan 06, 2023","24.740","24.740","24.740","24.740","1.99%"
"Jan 09, 2023","24.681","24.681","24.681","24.681","-0.24%"
"Jan 10, 2023","24.832","24.832","24.832","24.832","0.61%"
"Jan 11, 2023","25.100","25.100","25.100","25.100","1.08%"
"Jan 12, 2023","25.186","25.186","25.186","25.186","0.34%"
"Jan 13, 2023","25.255","25.255","25.255","25.255","0.27%"
"Jan 17, 2023","25.206","25.206","25.206","25.206","-0.19%"
"Jan 18, 2023","24.848","24.848","24.848","24.848","-1.42%"
"Jan 19, 2023","24.689","24.689","24.689","24.689","-0.64%"
"Jan 20, 2023","25.083","25.083","25.083","25.083","1.60%"
"Jan 23, 2023","25.341","25.341","25.341","25.341","1.03%"
"Jan 24, 2023","25.322","25.322","25.322","25.322","-0.07%"
"Jan 25, 2023","25.323","25.323","25.323","25.323","0.00%"
"Jan 26, 2023","25.563","25.563","25.563","25.563","0.95%"
"Jan 27, 2023","25.626","25.626","25.626","25.626","0.24%"
"Jan 30, 2023","25.322","25.322","25.322","25.322","-1.19%"
"Jan 31, 2023","25.659","25.659","25.659","25.659","1.33%"
"Feb 01, 2023","25.902","25.902","25.902","25.902","0.95%"
"Feb 02, 2023","26.240","26.240","26.240","26.240","1.30%"
"Feb 03, 2023","26.002","26.002","26.002","26.002","-0.91%"
"Feb 06, 2023","25.873","25.873","25.873","25.873","-0.49%"
"Feb 07, 2023","26.194","26.194","26.194","26.194","1.24%"
"Feb 08, 2023","25.907","25.907","25.907","25.907","-1.09%"
"Feb 09, 2023","25.695","25.695","25.695","25.695","-0.82%"
"Feb 10, 2023","25.754","25.754","25.754","25.754","0.23%"
"Feb 13, 2023","26.042","26.042","26.042","26.042","1.12%"
"Feb 14, 2023","26.023","26.023","26.023","26.023","-0.07%"
"Feb 15, 2023","26.125","26.125","26.125","26.125","0.39%"
"Feb 16, 2023","25.782","25.782","25.782","25.782","-1.31%"
"Feb 17, 2023","25.726","25.726","25.726","25.726","-0.22%"
"Feb 21, 2023","25.220","25.220","25.220","25.220","-1.97%"
"Feb 22, 2023","25.171","25.171","25.171","25.171","-0.19%"
"Feb 23, 2023","25.300","25.300","25.300","25.300","0.51%"
"Feb 27, 2023","25.123","25.123","25.123","25.123","-0.70%"
"Feb 28, 2023","25.030","25.030","25.030","25.030","-0.37%"
"Mar 01, 2023","24.918","24.918","24.918","24.918","-0.45%"
"Mar 02, 2023","25.106","25.106","25.106","25.106","0.76%"
"Mar 03, 2023","25.486","25.486","25.486","25.486","1.51%"
"Mar 07, 2023","25.093","25.093","25.093","25.093","-1.54%"
"Mar 08, 2023","25.187","25.187","25.187","25.187","0.38%"
"Mar 09, 2023","24.726","24.726","24.726","24.726","-1.83%"
"Mar 10, 2023","24.387","24.387","24.387","24.387","-1.37%"
"Mar 13, 2023","24.291","24.291","24.291","24.291","-0.40%"
"Mar 14, 2023","24.669","24.669","24.669","24.669","1.56%"
"Mar 15, 2023","24.529","24.529","24.529","24.529","-0.56%"
"Mar 16, 2023","24.928","24.928","24.928","24.928","1.62%"
"Mar 17, 2023","24.626","24.626","24.626","24.626","-1.21%"
"Mar 20, 2023","24.831","24.831","24.831","24.831","0.83%"
"Mar 21, 2023","25.153","25.153","25.153","25.153","1.30%"
"Mar 22, 2023","24.749","24.749","24.749","24.749","-1.60%"
"Mar 23, 2023","24.785","24.785","24.785","24.785","0.14%"
"Mar 24, 2023","24.938","24.938","24.938","24.938","0.62%"
"Mar 27, 2023","24.987","24.987","24.987","24.987","0.20%"
"Mar 28, 2023","24.934","24.934","24.934","24.934","-0.21%"
"Mar 29, 2023","25.273","25.273","25.273","25.273","1.36%"
"Mar 30, 2023","25.392","25.392","25.392","25.392","0.47%"
"Mar 31, 2023","25.734","25.734","25.734","25.734","1.35%"
"Apr 03, 2023","25.825","25.825","25.825","25.825","0.35%"
"Apr 04, 2023","25.682","25.682","25.682","25.682","-0.56%"
"Apr 05, 2023","25.598","25.598","25.598","25.598","-0.32%"
"Apr 10, 2023","25.729","25.729","25.729","25.729","0.51%"
"Apr 11, 2023","25.720","25.720","25.720","25.720","-0.03%"
"Apr 12, 2023","25.622","25.622","25.622","25.622","-0.38%"
"Apr 17, 2023","25.972","25.972","25.972","25.972","1.37%"
"Apr 18, 2023","25.973","25.973","25.973","25.973","0.00%"
"Apr 19, 2023","25.984","25.984","25.984","25.984","0.04%"
"Apr 20, 2023","25.832","25.832","25.832","25.832","-0.58%"
"Apr 21, 2023","25.840","25.840","25.840","25.840","0.03%"
"Apr 24, 2023","25.867","25.867","25.867","25.867","0.10%"
"Apr 25, 2023","25.454","25.454","25.454","25.454","-1.59%"
"Apr 26, 2023","25.342","25.342","25.342","25.342","-0.44%"
"Apr 27, 2023","25.828","25.828","25.828","25.828","1.92%"
"Apr 28, 2023","26.033","26.033","26.033","26.033","0.79%"
"May 02, 2023","25.720","25.720","25.720","25.720","-1.20%"
